ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
286,breadfruit,bread,3.613,1.542,31,fruit,3.563,1.924,32,NA,0.686,0.567
287,breadline,bread,3.469,1.831,32,line,2.533,1.358,30,NA,0.746,0.966
288,breakaway,break,4.677,1.904,31,away,3.469,1.610,32,NA,0.822,0.837
289,breakdown,break,4.156,1.648,32,down,3.281,1.603,32,NA,0.740,0.818
290,breakfast,break,3.387,1.927,31,fast,3.000,2.032,32,NA,0.684,0.742
291,breakneck,break,3.563,1.883,32,neck,3.125,1.695,32,NA,0.827,0.889
292,breakout,break,3.935,1.861,31,out,2.933,1.946,30,NA,0.831,0.883
293,breakthrough,break,4.188,1.891,32,through,3.194,1.579,31,NA,0.840,0.838
294,breakup,break,4.219,1.641,32,up,1.867,1.196,30,NA,0.700,0.832
295,breakwater,break,3.533,1.814,30,water,3.438,1.589,32,NA,0.893,0.808
296,breastbone,breast,4.613,1.564,31,bone,4.833,1.763,30,NA,0.670,0.626
297,breastfeed,breast,4.969,2.024,32,feed,4.633,1.866,30,NA,0.569,0.638
298,breastplate,breast,4.000,1.934,32,plate,3.724,1.907,29,NA,0.826,0.755
299,breaststroke,breast,3.097,1.832,31,stroke,3.567,2.344,30,NA,0.861,0.732
300,breastwork,breast,3.438,1.865,32,work,2.379,1.237,29,NA,0.930,0.944
301,brickwork,brick,4.656,1.789,32,work,3.226,1.359,31,NA,0.483,0.833
302,brickyard,brick,4.031,1.805,32,yard,3.813,1.727,32,NA,0.620,0.775
303,bridecake,bride,4.125,1.827,32,cake,4.419,1.649,31,NA,0.749,0.652
304,bridegroom,bride,5.375,2.012,32,groom,4.563,1.780,32,NA,0.351,0.421
305,bridesmaid,brides,4.097,2.087,31,maid,2.969,2.002,32,NA,NA,0.662
306,bridgehead,bridge,4.129,1.544,31,head,2.931,1.361,29,NA,0.694,0.852
307,bridgework,bridge,3.938,1.703,32,work,3.100,1.269,30,NA,0.889,0.912
308,briefcase,brief,2.484,1.630,31,case,4.300,1.896,30,3.93,0.853,0.711
309,brimstone,brim,3.406,1.847,32,stone,3.688,1.942,32,NA,0.909,0.824
310,broadcast,broad,2.813,1.768,32,cast,2.867,1.252,30,NA,0.979,0.901
311,broadcloth,broad,3.344,1.428,32,cloth,3.839,1.864,31,NA,0.829,0.535
312,broadloom,broad,3.188,1.575,32,loom,3.032,1.622,31,NA,0.905,0.822
313,broadsheet,broad,3.656,1.696,32,sheet,4.188,1.431,32,NA,0.930,0.753
