ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
314,broadside,broad,3.875,1.792,32,side,3.065,1.459,31,NA,0.835,0.989
315,broadsword,broad,3.344,1.696,32,sword,4.156,1.904,32,NA,0.841,0.507
316,broomstick,broom,5.406,1.624,32,stick,3.867,1.570,30,6.20,0.553,0.712
317,brotherhood,brother,5.419,1.566,31,hood,2.281,1.687,32,4.00,0.751,0.821
318,browbeat,brow,3.313,1.786,32,beat,2.700,1.622,30,NA,0.839,0.746
319,brownstone,brown,3.188,1.786,32,stone,3.500,1.815,30,4.09,0.779,0.817
320,brushfire,brush,3.469,2.032,32,fire,4.031,1.928,32,NA,0.844,0.891
321,brushlike,brush,4.625,1.314,32,like,2.281,1.447,32,NA,NA,NA
322,brushwood,brush,3.438,1.883,32,wood,3.452,1.859,31,NA,0.843,0.544
323,brushwork,brush,4.516,1.610,31,work,3.000,1.050,30,NA,0.692,0.804
324,buckshot,buck,3.250,1.626,32,shot,3.267,1.818,30,NA,0.684,0.494
325,buckskin,buck,3.375,1.930,32,skin,3.300,1.643,30,NA,0.771,0.784
326,bucktooth,buck,3.156,1.919,32,tooth,4.355,1.691,31,NA,0.753,0.792
327,buckwheat,buck,2.938,1.564,32,wheat,4.219,1.661,32,NA,0.837,0.515
328,buildup,build,5.258,1.290,31,up,2.862,1.663,29,NA,0.799,0.849
329,bulkhead,bulk,3.656,1.619,32,head,3.167,1.744,30,NA,0.977,0.793
330,bulldog,bull,3.031,1.769,32,dog,5.387,1.745,31,NA,0.764,0.601
331,bulldoze,bull,3.344,1.842,32,doze,2.100,1.423,30,NA,0.910,0.924
332,bulletproof,bullet,4.750,2.048,32,proof,3.167,1.949,30,5.53,0.685,0.789
333,bullfinch,bull,3.063,1.458,32,finch,3.290,1.716,31,NA,0.805,0.641
334,bullfrog,bull,2.774,1.892,31,frog,4.967,1.299,30,NA,0.855,0.569
335,bullring,bull,3.750,2.095,32,ring,3.613,1.706,31,NA,0.766,0.843
336,bumblebee,bumble,3.094,1.729,32,bee,5.655,1.587,29,NA,0.475,0.561
337,bumpkin,bump,3.387,1.944,31,kin,1.844,1.230,32,1.60,0.800,0.836
338,bunkhouse,bunk,4.387,1.801,31,house,4.156,1.875,32,NA,0.699,0.817
339,bunkmate,bunk,4.406,1.829,32,mate,4.621,1.635,29,NA,0.799,0.925
340,burdensome,burden,4.290,2.036,31,some,1.500,0.996,32,NA,0.604,1.001
341,burglarproof,burglar,4.290,1.488,31,proof,2.688,1.907,32,NA,0.733,0.881
342,bushwhack,bush,3.323,1.701,31,whack,2.469,1.501,32,NA,0.751,0.799
343,businesslike,business,5.125,1.699,32,like,2.433,1.547,30,5.00,0.732,0.804
344,businessman,business,4.613,1.856,31,man,4.219,1.910,32,5.86,0.561,0.568
345,businesswoman,business,5.452,1.287,31,woman,4.656,1.689,32,NA,0.738,0.640
346,busybody,busy,3.000,1.704,32,body,2.516,1.569,31,4.00,0.768,0.832
347,butterbean,butter,3.710,1.901,31,bean,3.563,2.095,32,NA,0.907,0.854
348,buttercup,butter,3.125,1.773,32,cup,2.633,1.474,30,NA,0.781,0.824
349,butterfat,butter,4.219,1.680,32,fat,3.333,1.493,30,NA,0.681,0.629
350,butterfingers,butter,2.516,1.387,31,fingers,3.656,1.889,32,NA,0.771,NA
351,butterfly,butter,1.938,1.435,32,fly,4.200,1.883,30,NA,0.870,0.650
352,buttermilk,butter,3.871,1.727,31,milk,4.400,1.734,30,NA,0.505,0.503
353,butternut,butter,3.375,1.827,32,nut,3.533,1.383,30,NA,0.685,0.783
354,butterscotch,butter,4.129,1.821,31,scotch,2.969,1.472,32,NA,0.653,0.661
355,buttonhole,button,4.594,1.847,32,hole,3.967,1.671,30,5.64,0.755,0.884
356,buttonhook,button,3.656,1.807,32,hook,3.533,1.548,30,NA,0.742,0.671
357,buttonwood,button,2.452,1.480,31,wood,3.000,1.914,32,NA,0.937,0.831
358,bygone,by,2.581,1.385,31,gone,3.469,1.945,32,NA,1.025,1.008
359,bylaw,by,2.844,1.834,32,law,3.839,1.791,31,NA,0.914,0.690
360,byline,by,3.063,1.625,32,line,3.161,1.594,31,NA,0.898,0.713
361,bypass,by,3.219,1.879,32,pass,3.903,1.350,31,NA,0.987,0.849
362,bypath,by,3.161,1.635,31,path,3.367,1.474,30,NA,1.053,0.829
363,byproduct,by,2.806,1.470,31,product,4.500,1.877,32,NA,0.833,0.813
364,byroad,by,3.032,1.426,31,road,3.469,1.670,32,NA,0.926,0.713
365,byway,by,3.063,1.523,32,way,3.156,1.521,32,NA,0.920,0.875
366,byword,by,2.656,1.619,32,word,2.906,1.672,32,NA,0.902,0.894
367,cablegram,cable,3.469,1.814,32,gram,2.828,1.490,29,NA,0.925,0.826
368,cabstand,cab,4.313,1.839,32,stand,3.733,1.780,30,NA,0.996,1.028
369,calfskin,calf,4.375,1.845,32,skin,4.161,1.870,31,5.17,0.689,0.656
370,cameraman,camera,3.871,2.012,31,man,4.625,1.561,32,NA,0.431,0.786
371,campfire,camp,4.781,1.791,32,fire,5.281,1.596,32,5.93,0.563,0.718
372,campground,camp,5.094,1.785,32,ground,5.069,1.163,29,5.57,0.673,0.867
373,campmate,camp,4.469,2.110,32,mate,4.167,1.577,30,NA,NA,NA
374,campsite,camp,5.774,1.309,31,site,3.933,1.437,30,5.86,0.522,0.746
375,candlelight,candle,5.281,1.708,32,light,5.250,1.371,32,NA,0.541,0.609
376,candlepower,candle,3.531,2.170,32,power,2.969,1.673,32,NA,0.588,0.685
377,candlestick,candle,5.516,1.313,31,stick,4.452,1.434,31,NA,0.581,0.824
378,candlewick,candle,4.750,1.760,32,wick,3.469,1.981,32,NA,0.786,0.836
379,cannonball,cannon,4.625,1.792,32,ball,3.667,1.446,30,6.27,0.698,0.674
380,canyonside,canyon,3.938,1.966,32,side,2.690,1.466,29,NA,NA,NA
381,cardboard,card,4.250,1.778,32,board,4.200,1.400,30,NA,0.804,0.875
382,cardpunch,card,4.097,1.700,31,punch,3.094,1.772,32,NA,NA,NA
383,cardsharp,card,4.032,1.871,31,sharp,3.094,1.962,32,NA,0.708,0.852
384,carefree,care,3.194,1.939,31,free,4.379,1.916,29,5.60,0.795,0.742
385,carload,car,3.969,1.750,32,load,3.667,1.583,30,NA,0.642,0.728
386,carpetbag,carpet,3.645,1.836,31,bag,3.655,1.495,29,NA,0.870,0.787
387,carport,car,3.844,2.112,32,port,3.200,1.448,30,NA,0.642,0.927
388,carryall,carry,3.484,1.525,31,all,2.656,1.649,32,4.62,0.755,0.904
389,carryout,carry,3.516,1.651,31,out,2.367,1.497,30,4.60,NA,NA
390,carryover,carry,3.875,1.540,32,over,3.379,1.821,29,NA,0.895,0.670
391,carsick,car,4.875,1.755,32,sick,4.533,1.592,30,NA,0.582,0.638
392,carthorse,cart,4.125,1.581,32,horse,3.406,1.749,32,NA,0.761,0.569
393,cartwheel,cart,3.906,2.131,32,wheel,3.533,1.871,30,3.07,0.853,0.666
394,casebook,case,3.969,1.840,32,book,4.469,1.671,32,NA,0.706,0.863
395,casework,case,3.875,1.661,32,work,4.484,1.546,31,NA,0.673,0.874
396,castaway,cast,3.063,1.777,32,away,3.710,1.811,31,4.50,0.803,0.812
397,castoff,cast,3.129,1.258,31,off,2.906,1.784,32,4.33,0.881,0.690
398,catcall,cat,3.031,1.694,32,call,3.600,2.044,30,NA,0.840,0.837
399,catchphrase,catch,2.935,1.548,31,phrase,4.633,1.671,30,NA,0.783,0.634
400,catchup,catch,4.063,1.883,32,up,2.344,1.520,32,NA,NA,NA
401,catchword,catch,3.387,1.667,31,word,3.839,1.856,31,NA,1.019,0.840
402,catfish,cat,2.813,1.908,32,fish,5.063,1.789,32,NA,0.738,0.430
403,catgut,cat,2.906,1.766,32,gut,2.700,1.466,30,NA,0.820,0.772
404,catlike,cat,4.469,1.900,32,like,2.800,1.789,30,NA,0.675,0.653
405,catnap,cat,3.625,2.121,32,nap,3.531,2.044,32,NA,0.712,0.774
406,catnip,cat,3.844,2.065,32,nip,3.067,1.596,30,NA,0.519,0.779
407,catwalk,cat,2.594,1.563,32,walk,4.300,1.512,30,NA,0.847,0.749
408,causeway,cause,2.419,1.566,31,way,3.033,1.629,30,NA,0.950,0.822
409,cavalryman,cavalry,3.742,1.673,31,man,3.406,1.961,32,NA,0.496,0.687
410,caveman,cave,4.875,1.641,32,man,4.900,1.605,30,NA,0.677,0.675
411,cavemen,cave,4.719,1.836,32,men,4.387,1.783,31,NA,NA,NA
412,censorship,censor,4.355,1.854,31,ship,2.625,1.747,32,3.07,0.446,1.037
413,centerline,center,5.219,1.408,32,line,4.000,1.507,31,NA,0.825,0.701
414,chainlike,chain,4.938,1.813,32,like,2.500,1.676,30,NA,NA,NA
415,chairman,chair,4.839,1.791,31,man,3.469,2.171,32,NA,0.640,0.845
416,chairperson,chair,3.406,2.138,32,person,4.167,1.621,30,NA,0.671,0.827
417,chairwoman,chair,3.484,2.278,31,woman,4.313,1.847,32,NA,0.728,0.803
418,chamberlain,chamber,3.355,1.582,31,lain,3.531,1.947,32,2.89,0.860,0.858
419,chambermaid,chamber,4.533,1.833,30,maid,4.688,1.561,32,5.08,0.979,0.452
420,chamberpot,chamber,4.161,1.734,31,pot,4.226,1.802,31,NA,NA,NA
421,chartroom,chart,3.806,1.682,31,room,3.188,2.018,32,NA,0.846,0.638
422,chatterbox,chatter,4.969,1.750,32,box,2.233,1.455,30,NA,0.665,0.932
423,cheapjack,cheap,3.323,1.558,31,jack,2.344,1.591,32,NA,NA,NA
424,cheapskate,cheap,4.531,1.759,32,skate,1.935,1.299,31,2.00,0.554,0.808
425,checkbook,check,4.031,2.008,32,book,4.290,1.616,31,NA,0.543,0.741
426,checkerboard,checker,2.968,1.581,31,board,3.844,1.759,32,NA,0.890,0.945
427,checklist,check,5.133,1.737,30,list,5.567,1.073,30,NA,0.768,0.779
428,checkmate,check,3.313,2.007,32,mate,2.344,1.400,32,NA,0.831,0.950
429,checkoff,check,3.677,1.777,31,off,3.000,1.857,30,NA,NA,NA
430,checkout,check,3.406,1.682,32,out,3.375,1.542,32,NA,0.766,0.902
431,checkpoint,check,4.968,1.538,31,point,3.733,1.741,30,NA,0.795,0.809
432,checkroom,check,3.484,1.568,31,room,4.594,2.080,32,NA,0.665,0.653
433,checkup,check,4.406,1.881,32,up,2.129,1.088,31,NA,0.648,0.857
434,cheekbone,cheek,5.531,1.270,32,bone,4.750,1.846,32,6.67,0.636,0.588
435,cheesecake,cheese,5.094,1.594,32,cake,5.548,1.406,31,NA,0.567,0.444
436,cheesecloth,cheese,3.742,1.632,31,cloth,3.594,2.039,32,NA,0.754,0.592
437,chessboard,chess,5.063,1.795,32,board,3.900,1.470,30,NA,0.507,0.871
438,chestnut,chest,2.710,1.716,31,nut,4.313,1.944,32,2.33,0.852,0.771
439,chickenpox,chicken,2.161,1.293,31,pox,2.813,2.163,32,2.43,0.765,0.520
440,chickpea,chick,2.774,1.765,31,pea,4.355,1.959,31,NA,0.773,0.664
441,chickweed,chick,3.156,1.505,32,weed,3.267,1.388,30,NA,0.777,0.612
442,childbirth,child,5.452,1.786,31,birth,5.719,1.243,32,NA,0.648,0.556
443,childhood,child,3.258,2.366,31,hood,2.781,1.774,32,NA,0.527,0.873
444,childlike,child,5.219,1.560,32,like,2.613,1.801,31,NA,0.630,0.703
445,chimneypiece,chimney,4.906,1.594,32,piece,3.500,1.432,32,NA,NA,NA
446,chimneystack,chimney,4.656,1.696,32,stack,2.800,1.400,30,NA,NA,NA
447,chimneysweep,chimney,4.000,2.079,32,sweep,3.581,1.566,31,NA,NA,NA
448,Chinatown,china,4.250,2.064,32,town,3.839,1.695,31,NA,NA,NA
449,chinaware,china,4.387,2.044,31,ware,3.355,1.799,31,NA,0.722,0.758
450,chinstrap,chin,4.355,1.924,31,strap,4.267,1.230,30,NA,0.692,0.688
451,chitchat,chit,2.968,1.923,32,chat,5.333,1.422,30,NA,0.552,0.500
452,choirboy,choir,4.875,1.680,32,boy,4.900,1.517,30,5.93,0.536,0.640
453,choirmaster,choir,4.844,1.919,32,master,3.310,1.538,29,NA,0.459,0.823
454,chophouse,chop,4.258,1.966,31,house,2.813,1.897,32,NA,0.654,0.635
455,chopstick,chop,2.656,1.977,32,stick,4.367,1.608,30,2.86,0.681,0.615
456,Christlike,christ,4.656,2.073,32,like,2.500,1.815,30,NA,NA,NA
457,churchyard,church,5.031,1.492,32,yard,3.567,1.406,30,NA,0.599,0.742
458,ciderpress,cider,3.313,1.768,32,press,2.800,1.472,30,NA,NA,NA
459,citizenship,citizen,4.258,1.999,31,ship,2.188,1.544,32,NA,0.523,0.942
460,citywide,city,5.094,1.766,32,wide,3.733,1.680,30,NA,0.576,0.925
461,clambake,clam,4.548,1.767,31,bake,3.406,1.939,32,5.40,0.826,0.884
462,clampdown,clamp,4.871,1.522,31,down,3.200,1.710,30,NA,0.772,0.947
463,clamshell,clam,5.161,1.594,31,shell,4.600,1.589,30,6.54,0.761,0.817
464,clapboard,clap,3.219,1.680,32,board,4.433,1.716,30,NA,0.976,1.000
465,claptrap,clap,3.000,1.646,32,trap,3.097,1.446,31,2.36,0.874,0.880
466,classmate,class,4.938,1.740,32,mate,4.355,1.470,31,5.86,0.575,0.878
467,classroom,class,5.839,1.485,31,room,5.267,1.388,30,5.80,0.585,0.694
468,cleanup,clean,5.867,1.279,30,up,2.433,1.633,30,3.86,0.623,0.839
469,clergyman,clergy,4.290,2.003,31,man,3.563,1.877,32,6.00,0.517,0.742
470,cliffhanger,cliff,4.452,1.567,31,hanger,2.375,1.838,32,4.00,0.776,0.803
471,clipboard,clip,4.188,1.712,32,board,5.000,1.317,31,5.64,0.779,0.950
472,cloakroom,cloak,4.516,1.895,31,room,4.419,1.592,31,5.87,0.751,0.617
473,clockwise,clock,4.581,1.608,31,wise,3.438,2.199,32,NA,0.744,0.990
474,clockwork,clock,4.677,1.423,31,work,3.069,1.771,29,NA,0.722,0.786
475,closeup,close,4.839,1.530,31,up,2.800,1.562,30,4.15,0.772,0.879
476,clothbound,cloth,3.613,1.892,31,bound,3.344,1.626,32,NA,0.877,0.888
477,clothesbasket,clothes,4.516,1.651,31,basket,3.094,1.672,32,NA,NA,NA
478,clothesbrush,clothes,4.419,1.669,31,brush,4.194,1.352,31,NA,NA,NA
479,clotheshorse,clothes,3.438,1.865,32,horse,2.567,1.165,30,NA,0.819,0.723
480,clothesline,clothes,4.500,1.867,32,line,3.548,1.841,31,NA,0.583,0.739
481,clothespin,clothes,3.938,2.078,32,pin,4.000,1.816,32,NA,0.801,0.650
482,cloudbank,cloud,4.065,1.611,31,bank,4.063,1.949,32,NA,NA,NA
483,cloudburst,cloud,3.656,1.677,32,burst,2.767,1.251,30,NA,0.706,0.741
484,cloverleaf,clover,4.781,1.809,32,leaf,4.613,1.764,31,5.79,0.993,1.001
485,clubfoot,club,3.290,1.596,31,foot,3.129,1.500,31,NA,1.000,0.780
486,clubhouse,club,4.645,1.723,31,house,4.567,1.569,30,NA,0.488,0.734
487,coachman,coach,4.032,1.722,31,man,4.094,2.351,32,4.58,0.703,0.648
488,coachwork,coach,3.844,2.018,32,work,3.900,1.954,30,NA,0.789,1.024
489,coalface,coal,3.438,1.848,32,face,3.433,1.888,30,NA,0.620,0.885
490,coalfield,coal,4.500,1.814,32,field,3.633,1.586,30,NA,0.536,1.000
491,coalhole,coal,3.531,1.646,32,hole,3.258,1.548,31,NA,0.914,0.726
492,coalhouse,coal,4.250,1.778,32,house,3.613,1.498,31,NA,NA,NA
493,coalmine,coal,4.813,1.975,32,mine,4.600,1.886,30,NA,0.489,0.856
494,coastguard,coast,4.594,1.682,32,guard,4.875,1.573,32,NA,0.731,0.803
495,coastline,coast,5.258,1.505,31,line,2.967,1.629,30,5.77,0.373,0.866
496,cobblestone,cobble,4.156,1.868,32,stone,4.300,1.860,30,NA,0.702,0.761
497,cobweb,cob,3.613,1.520,31,web,3.969,1.896,32,3.13,0.905,0.765
498,cockeyed,cock,2.968,1.516,31,eyed,3.031,1.888,32,NA,0.780,0.701
499,cockfight,cock,3.750,1.832,32,fight,4.233,1.775,30,NA,0.775,0.746
500,cockhorse,cock,2.742,1.390,31,horse,3.563,2.158,32,NA,0.760,0.646
501,cockleshell,cockle,4.355,2.074,31,shell,4.469,1.895,32,NA,0.851,0.935
502,cockpit,cock,2.938,1.848,32,pit,3.767,1.775,30,NA,0.863,0.875
503,cockroach,cock,1.813,1.533,32,roach,4.833,2.001,30,NA,0.788,0.778
504,cocksure,cock,3.129,1.996,31,sure,2.900,1.936,30,NA,0.729,0.686
505,cocktail,cock,2.516,1.786,31,tail,1.800,1.375,30,NA,0.852,0.882
506,codfish,cod,4.813,2.055,32,fish,5.533,1.502,30,5.20,0.616,0.546
507,coffeepot,coffee,5.375,1.519,32,pot,4.903,1.423,31,6.29,0.568,0.649
508,cogwheel,cog,3.406,2.014,32,wheel,4.156,1.765,32,NA,0.739,0.711
509,collarbone,collar,4.742,1.712,31,bone,4.839,1.753,31,6.29,0.802,0.592
510,comeback,come,3.813,1.674,32,back,3.367,1.608,30,5.14,0.838,0.804
511,comedown,come,3.281,1.464,32,down,3.129,1.544,31,NA,0.747,0.793
512,committeeman,committee,2.419,1.608,31,man,4.452,2.112,31,NA,0.895,0.826
513,committeewoman,committee,4.581,1.893,31,woman,3.813,2.144,32,NA,NA,NA
514,commonplace,common,5.548,1.362,31,place,3.313,1.944,32,4.85,0.678,0.932
515,commonwealth,common,2.935,1.825,31,wealth,2.600,1.567,30,3.90,0.933,0.842
516,comradeship,comrade,5.161,1.635,31,ship,3.750,2.257,32,NA,0.771,0.876
517,concertmaster,concert,4.438,1.900,32,master,4.067,1.680,30,NA,0.755,0.888
518,congressman,congress,5.419,1.544,31,man,4.156,1.955,32,6.33,0.541,0.703
519,congresswoman,congress,5.323,1.558,31,woman,3.313,2.042,32,NA,0.607,0.711
520,cookbook,cook,4.871,1.746,31,book,5.207,1.048,29,NA,0.628,0.631
521,cookout,cook,4.839,1.594,31,out,3.688,2.006,32,NA,0.615,0.637
522,coolheaded,cool,4.516,1.235,31,headed,4.344,2.053,32,NA,0.941,0.957
523,copperhead,copper,4.097,1.720,31,head,3.031,1.602,32,NA,0.875,0.825
524,copperplate,copper,4.438,1.740,32,plate,4.032,1.581,31,NA,0.791,0.781
525,coppersmith,copper,4.906,1.653,32,smith,4.433,1.832,30,NA,0.732,0.802
526,copybook,copy,4.250,1.867,32,book,4.161,1.795,31,NA,0.851,0.791
527,copycat,copy,5.194,1.778,31,cat,2.438,1.823,32,NA,0.851,0.829
528,copyright,copy,4.313,1.712,32,right,3.633,1.921,30,NA,0.781,0.901
529,corkscrew,cork,4.219,2.136,32,screw,4.333,1.729,30,5.00,0.749,0.715
530,cornbread,corn,4.500,1.524,32,bread,4.833,1.783,30,NA,0.635,0.638
531,corncob,corn,4.625,1.845,32,cob,4.219,1.957,32,NA,0.736,0.907
532,cornerstone,corner,3.344,2.057,32,stone,3.800,2.024,30,NA,0.873,0.831
533,cornfield,corn,5.484,1.480,31,field,4.469,1.842,32,NA,0.590,0.641
534,cornflake,corn,4.219,1.930,32,flake,3.290,1.697,31,NA,0.702,0.767
535,cornflour,corn,4.774,1.765,31,flour,5.379,1.474,29,NA,NA,NA
536,cornflower,corn,3.625,1.809,32,flower,3.700,1.932,30,NA,0.750,0.551
537,cornmeal,corn,4.452,1.690,31,meal,3.688,1.802,32,NA,0.559,0.659
538,cornstarch,corn,4.688,1.712,32,starch,4.833,1.289,30,NA,0.633,0.487
539,cottonmouth,cotton,3.094,1.838,32,mouth,2.767,1.675,30,NA,0.810,0.821
540,cottonseed,cotton,4.844,1.668,32,seed,4.067,1.721,30,NA,0.619,0.641
541,cottontail,cotton,3.375,1.699,32,tail,3.258,1.712,31,4.08,0.830,0.701
542,councilman,council,4.516,1.730,31,man,4.500,1.964,32,NA,0.660,0.723
543,councilwoman,council,5.097,1.326,31,woman,5.063,1.590,32,NA,0.778,0.761
544,countdown,count,5.194,1.621,31,down,3.226,1.802,31,6.27,0.766,0.806
545,countryman,country,4.871,1.384,31,man,3.844,1.922,32,NA,0.782,0.764
546,countryside,country,4.375,2.012,32,side,2.774,1.359,31,NA,0.659,0.960
547,countrywide,country,5.000,1.983,31,wide,3.233,1.547,30,NA,0.776,0.844
548,countrywoman,country,4.742,1.341,31,woman,2.313,1.726,32,NA,0.751,0.684
549,courthouse,court,5.188,1.674,32,house,3.839,1.881,31,NA,0.582,0.666
550,courtroom,court,5.188,1.822,32,room,4.500,1.669,32,NA,0.468,0.677
551,courtship,court,3.935,1.652,31,ship,3.156,2.190,32,NA,0.902,0.992
552,courtyard,court,4.469,2.032,32,yard,4.367,1.377,30,NA,0.882,0.675
553,coverall,cover,3.645,2.090,31,all,2.903,1.557,31,NA,0.769,0.781
554,cowbell,cow,4.733,1.999,30,bell,4.516,1.805,31,NA,0.754,0.694
555,cowbird,cow,2.813,1.749,32,bird,2.933,1.741,30,NA,0.783,0.575
556,cowboy,cow,3.774,1.802,31,boy,4.097,1.868,31,NA,0.693,0.615
557,cowgirl,cow,3.800,1.901,30,girl,4.161,1.968,31,NA,0.672,0.532
558,cowhand,cow,3.281,1.727,32,hand,2.613,1.706,31,NA,0.628,0.810
559,cowherd,cow,4.906,1.940,32,herd,4.467,1.907,30,NA,0.599,0.746
560,cowhide,cow,4.500,1.967,32,hide,3.724,1.998,30,NA,0.762,0.784
561,cowlick,cow,3.000,1.723,32,lick,2.781,1.675,32,NA,0.764,0.758
562,cowpox,cow,3.188,1.575,32,pox,4.467,1.737,30,NA,0.754,0.565
563,cowshed,cow,4.000,1.760,32,shed,3.613,1.764,31,NA,0.576,0.760
564,cowskin,cow,5.000,1.760,32,skin,4.750,1.544,32,NA,0.722,0.807
565,crabapple,crab,2.548,1.524,31,apple,2.844,1.680,32,NA,0.736,0.649
566,crackdown,crack,3.344,1.537,32,down,2.900,1.668,30,NA,0.722,0.890
567,crackpot,crack,3.063,1.605,32,pot,2.710,1.510,31,NA,0.805,0.768
568,crackup,crack,4.097,1.850,31,up,4.031,2.121,32,NA,0.816,0.778
569,craftsman,crafts,3.226,1.647,31,man,4.094,1.835,32,NA,NA,0.802
570,cranelike,crane,4.000,1.814,32,like,2.200,1.243,30,NA,NA,NA
571,crankshaft,crank,3.906,1.634,32,shaft,3.933,1.760,30,NA,0.436,0.574
572,crawlspace,crawl,3.742,1.770,31,space,3.100,1.447,30,NA,0.688,0.833
573,crewman,crew,4.677,1.720,31,man,3.938,1.910,32,NA,0.419,0.684
574,crewmember,crew,5.656,1.382,32,member,5.200,1.562,30,NA,0.466,0.805
575,crossbar,cross,3.688,1.768,32,bar,4.161,1.791,31,NA,0.791,0.802
576,crossbeam,cross,2.903,1.274,31,beam,3.767,1.524,30,NA,0.847,0.807
577,crossbones,cross,4.935,1.711,31,bones,3.656,1.992,32,NA,0.757,NA
578,crossbow,cross,3.323,1.681,31,bow,4.900,1.900,30,NA,0.848,0.657
579,crossbreed,cross,3.781,1.773,32,breed,4.194,1.621,31,NA,0.942,0.495
580,crosscheck,cross,3.563,1.848,32,check,4.839,1.864,31,NA,0.945,0.746
581,crosscountry,cross,3.903,1.620,31,country,3.967,1.829,30,NA,NA,NA
582,crosscurrent,cross,3.806,1.815,31,current,3.063,1.975,32,NA,0.931,0.893
583,crosscut,cross,3.156,1.648,32,cut,3.871,1.821,31,NA,0.767,0.708
584,crosseyed,cross,3.290,1.371,31,eyed,3.188,1.839,32,NA,NA,NA
585,crossfire,cross,3.594,1.915,32,fire,3.200,1.669,30,4.07,0.938,0.729
586,crossover,cross,3.750,1.778,32,over,3.645,1.603,31,4.93,0.860,0.904
587,crossroad,cross,4.065,1.861,31,road,4.323,1.579,31,5.43,0.759,0.620
588,crosswalk,cross,3.313,1.712,32,walk,4.300,1.393,30,5.20,0.719,0.906
589,crosswind,cross,3.903,1.832,31,wind,4.031,1.688,32,4.55,0.862,0.537
590,crosswise,corss,3.355,1.404,31,wise,2.875,1.734,32,3.09,NA,0.868
591,crossword,cross,3.656,1.753,32,word,4.133,1.756,30,4.57,0.933,0.809
592,crowbait,crow,3.355,1.780,31,bait,3.400,1.380,30,NA,NA,NA
593,crowbar,crow,2.677,1.833,31,bar,3.516,1.749,31,NA,0.834,0.743
594,crowfoot,crow,3.161,1.968,31,foot,3.067,1.552,30,NA,0.856,0.905
595,crybaby,cry,4.156,1.668,32,baby,4.233,1.794,30,5.33,0.624,0.612
596,cupboard,cup,2.710,1.371,31,board,2.313,1.600,32,3.00,0.803,0.841
597,cupcake,cup,3.903,1.850,31,cake,5.267,1.015,30,4.80,0.685,0.483
598,curbside,curb,4.625,1.827,32,side,3.567,1.305,30,6.00,0.830,0.849
599,customhouse,custom,3.688,1.786,32,house,3.367,1.691,30,NA,0.735,0.745
600,cutaway,cut,2.935,1.843,31,away,3.156,2.235,32,NA,0.744,0.936
601,cutback,cut,4.032,1.835,31,back,2.967,1.450,30,NA,0.775,0.809
602,cutlet,cut,2.968,1.835,31,let,3.313,1.847,32,NA,0.695,0.719
603,cutoff,cut,4.313,1.942,32,off,3.759,1.958,29,NA,0.827,0.879
604,cutout,cut,4.406,1.847,32,out,3.032,1.888,31,NA,0.822,0.802
605,cutthroat,cut,3.567,1.888,30,throat,2.967,1.752,30,NA,0.798,0.869
606,czarship,czar,3.774,1.927,31,ship,2.406,1.588,32,NA,NA,NA
607,dairymaid,dairy,4.484,1.749,31,maid,4.833,1.724,30,NA,0.774,0.621
608,dairyman,dairy,3.581,1.858,31,man,3.750,2.175,32,NA,0.635,0.715
609,dancelike,dance,5.065,1.526,31,like,2.800,1.901,30,NA,NA,NA
610,daredevil,dare,4.250,1.778,32,devil,3.467,2.030,30,3.71,0.815,0.749
611,daresay,dare,4.194,1.600,31,say,4.094,1.921,32,4.18,0.729,0.630
612,darkroom,dark,4.250,1.796,32,room,4.100,1.647,30,5.79,0.767,0.711
613,dartboard,dart,5.290,1.755,31,board,4.767,1.331,30,5.93,0.681,0.827
614,dashboard,dash,2.935,1.731,31,board,3.767,1.569,30,3.64,0.756,0.871
615,dateline,date,4.375,1.601,32,line,2.677,1.400,31,2.60,0.692,0.790
616,daybed,day,3.125,1.431,32,bed,4.065,1.750,31,NA,0.860,0.730
617,daybreak,day,4.313,1.749,32,break,3.400,1.714,30,NA,0.681,0.782
618,daydream,day,3.531,1.741,32,dream,5.226,1.448,31,NA,0.691,0.532
619,daylight,day,5.677,1.423,31,light,5.323,0.952,31,NA,0.703,0.652
620,dayroom,day,4.161,1.772,31,room,3.781,1.879,32,NA,0.722,0.496
621,daytime,day,5.226,1.839,31,time,4.200,1.789,30,NA,0.739,0.781
622,deadline,dead,3.563,1.900,32,line,2.167,1.289,30,NA,0.838,0.820
623,deadlock,dead,2.906,1.802,32,lock,3.400,1.831,30,NA,0.935,0.747
624,deadpan,dead,3.484,1.786,31,pan,2.400,1.522,30,NA,0.821,0.884
625,deadweight,dead,3.871,1.648,31,weight,3.719,1.836,32,NA,0.936,0.667
626,deadwood,dead,3.484,1.805,31,wood,4.097,1.399,31,NA,0.782,0.691
627,deathbed,death,5.581,1.455,31,bed,3.900,1.668,30,NA,0.582,0.635
628,deathblow,death,4.344,1.945,32,blow,3.833,1.859,30,NA,0.740,0.684
629,deathward,death,4.806,1.721,31,ward,3.387,1.892,31,NA,NA,NA
630,deathwatch,death,3.839,1.573,31,watch,4.000,2.250,32,NA,0.731,0.717
631,deerskin,deer,5.097,1.578,31,skin,4.469,1.766,32,NA,0.770,0.679
